"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",200,6,"normal","parametric","norm",0.902,0.902,0.908,0.916,"500",0.907,0
"outres_norm",200,6,"normal","residual","norm",0.902,0.904,0.914,0.898,"500",0.9045,0
"outpar_perc",200,6,"normal","parametric","perc",0.912,0.914,0.954,0.926,"500",0.9265,0
"outres_perc",200,6,"normal","residual","perc",0.892,0.904,0.936,0.912,"500",0.911,0
"outpar_basic",200,6,"normal","parametric","basic",0.896,0.894,0.9,0.904,"500",0.8985,0
"outres_basic",200,6,"normal","residual","basic",0.902,0.892,0.9,0.904,"500",0.8995,0
