"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",100,6,"nonnormal","parametric","norm",0.888,0.858,0.82,0.764,"500",0.8325,0
"outres_norm",100,6,"nonnormal","residual","norm",0.89,0.874,0.84,0.842,"500",0.8615,0
"outpar_perc",100,6,"nonnormal","parametric","perc",0.902,0.88,0.89,0.786,"500",0.8645,0
"outres_perc",100,6,"nonnormal","residual","perc",0.902,0.882,0.874,0.87,"500",0.882,0
"outpar_basic",100,6,"nonnormal","parametric","basic",0.882,0.85,0.8,0.754,"500",0.8215,0
"outres_basic",100,6,"nonnormal","residual","basic",0.89,0.858,0.834,0.838,"500",0.855,0
