"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",30,70,"normal","parametric","norm",0.932,0.854,0.934,0.906,"500",0.9065,0
"outres_norm",30,70,"normal","residual","norm",0.932,0.856,0.914,0.88,"500",0.8955,0
"outpar_perc",30,70,"normal","parametric","perc",0.942,0.896,0.946,0.914,"500",0.9245,0
"outres_perc",30,70,"normal","residual","perc",0.936,0.896,0.924,0.886,"500",0.9105,0
"outpar_basic",30,70,"normal","parametric","basic",0.926,0.814,0.912,0.882,"500",0.8835,0
"outres_basic",30,70,"normal","residual","basic",0.934,0.812,0.898,0.87,"500",0.8785,0
