"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",200,70,"normal","parametric","norm",0.93,0.865,0.955,0.935,"200",0.92125,0
"outres_norm",200,70,"normal","residual","norm",0.925,0.875,0.955,0.93,"200",0.92125,0
"outpar_perc",200,70,"normal","parametric","perc",0.935,0.875,0.955,0.92,"200",0.92125,0
"outres_perc",200,70,"normal","residual","perc",0.93,0.89,0.95,0.91,"200",0.92,0
"outpar_basic",200,70,"normal","parametric","basic",0.93,0.865,0.95,0.925,"200",0.9175,0
"outres_basic",200,70,"normal","residual","basic",0.92,0.87,0.95,0.92,"200",0.915,0
