"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",200,6,"nonnormal","parametric","norm",0.894,0.904,0.84,0.748,"500",0.8465,0
"outres_norm",200,6,"nonnormal","residual","norm",0.908,0.906,0.906,0.846,"500",0.8915,0
"outpar_perc",200,6,"nonnormal","parametric","perc",0.9,0.91,0.91,0.77,"500",0.8725,0
"outres_perc",200,6,"nonnormal","residual","perc",0.916,0.92,0.926,0.862,"500",0.906,0
"outpar_basic",200,6,"nonnormal","parametric","basic",0.882,0.9,0.834,0.754,"500",0.8425,0
"outres_basic",200,6,"nonnormal","residual","basic",0.906,0.908,0.882,0.846,"500",0.8855,0
