"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",30,6,"normal","parametric","norm",0.9,0.856,0.894,0.898,"500",0.887,0
"outres_norm",30,6,"normal","residual","norm",0.89,0.852,0.848,0.896,"500",0.8715,0
"outpar_perc",30,6,"normal","parametric","perc",0.92,0.924,0.916,0.942,"500",0.9255,0
"outres_perc",30,6,"normal","residual","perc",0.918,0.908,0.936,0.918,"500",0.92,0
"outpar_basic",30,6,"normal","parametric","basic",0.878,0.826,0.858,0.884,"500",0.8615,0
"outres_basic",30,6,"normal","residual","basic",0.876,0.828,0.832,0.882,"500",0.8545,0
