"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",100,6,"normal","parametric","norm",0.916,0.896,0.912,0.93,"500",0.9135,0
"outres_norm",100,6,"normal","residual","norm",0.914,0.904,0.914,0.926,"500",0.9145,0
"outpar_perc",100,6,"normal","parametric","perc",0.932,0.914,0.964,0.938,"500",0.937,0
"outres_perc",100,6,"normal","residual","perc",0.918,0.92,0.92,0.944,"500",0.9255,0
"outpar_basic",100,6,"normal","parametric","basic",0.92,0.894,0.894,0.922,"500",0.9075,0
"outres_basic",100,6,"normal","residual","basic",0.918,0.894,0.912,0.924,"500",0.912,0
