"","C","N","norm","boottype","CI","f1cov","f2cov","vcov","mcov","converged_reps","averagecov","nonconverge_prop"
"outpar_norm",30,6,"nonnormal","parametric","norm",0.89,0.858,0.858,0.74,"500",0.8365,0
"outres_norm",30,6,"nonnormal","residual","norm",0.906,0.872,0.788,0.768,"500",0.8335,0
"outpar_perc",30,6,"nonnormal","parametric","perc",0.916,0.914,0.866,0.808,"500",0.876,0
"outres_perc",30,6,"nonnormal","residual","perc",0.902,0.904,0.944,0.842,"500",0.898,0
"outpar_basic",30,6,"nonnormal","parametric","basic",0.88,0.802,0.822,0.716,"500",0.805,0
"outres_basic",30,6,"nonnormal","residual","basic",0.88,0.814,0.768,0.732,"500",0.7985,0
